tau,T,cost_pure_llm_usd,cost_switching_usd,cost_saving_usd,cost_saving_pct,threshold_pct,threshold_score,llm_trials_to_target,switch_trials_to_target,trials_saved,llm_final_score,gp_final_score,switch_final_score,quality_delta,gp_advantage,llm_improvement_after_tau,llm_plateaued,model,dataset,seed,start_idx
1,25,0.007788999999999701,0.0001605,0.007628499999999701,97.9394017203748,0.95,-26.969487998047963,25,25,0,-34.45005911745216,-28.38893473478733,-28.38893473478733,6.061124382664833,6.061124382664833,1.9846302632506152,False,dt,boston,0,2
1,25,0.007788999999999701,0.0001605,0.007628499999999701,97.9394017203748,0.95,-28.238198947982063,25,25,0,-34.45005911745216,-29.72441994524428,-29.72441994524428,4.7256391722078845,4.7256391722078845,1.9846302632506152,False,dt,boston,1,0
2,25,0.007788999999999701,0.0003399999999999,0.0074489999999998,95.63486968802268,0.95,-25.417705044919483,25,25,0,-34.45005911745216,-26.755478994652087,-26.755478994652087,7.694580122800076,7.694580122800076,0.0,True,dt,boston,1,1
4,25,0.0080099999999998,0.0007649999999999,0.0072449999999999,90.4494382022482,0.95,-29.116938536829167,25,25,0,-36.43468938070278,-30.649408986135967,-30.649408986135967,5.785280394566811,5.785280394566811,0.0,True,dt,boston,1,2
1,25,0.007788999999999701,0.0001605,0.007628499999999701,97.9394017203748,0.95,-28.238198947982063,25,25,0,-34.45005911745216,-29.72441994524428,-29.72441994524428,4.7256391722078845,4.7256391722078845,1.9846302632506152,False,dt,boston,2,0
5,25,0.007788999999999701,0.0009954999999998,0.0067934999999999,87.21915521890051,0.95,-27.718205877602905,25,25,0,-34.45005911745216,-29.177058818529375,-29.177058818529375,5.273000298922788,5.273000298922788,0.0,True,dt,boston,2,1
1,25,0.007788999999999701,0.0001605,0.007628499999999701,97.9394017203748,0.95,-28.639824643363514,25,25,0,-34.45005911745216,-30.147183835119492,-30.147183835119492,4.302875282332671,4.302875282332671,1.9846302632506152,False,dt,boston,2,2
8,25,0.0074919999999999,0.0017379999999999,0.005754,76.80192205018788,0.95,0.9183333333333334,1,1,0,0.96,0.9666666666666668,0.9666666666666668,0.006666666666666821,0.006666666666666821,0.0,True,rf,iris,0,0
1,25,0.007518999999999901,0.0001525,0.007366499999999901,97.97180476127141,0.95,0.9183333333333334,1,1,0,0.96,0.9666666666666668,0.9666666666666668,0.006666666666666821,0.006666666666666821,0.0,True,rf,iris,0,1
20,25,0.007483499999999901,0.0057689999999999,0.0017145000000000007,22.910402886350283,0.95,0.9183333333333334,1,1,0,0.96,0.9666666666666668,0.9666666666666668,0.006666666666666821,0.006666666666666821,0.0,True,rf,iris,0,2
1,25,0.0075194999999999,0.0001525,0.0073669999999999005,97.97193962364516,0.95,0.9183333333333334,1,1,0,0.96,0.9666666666666668,0.9666666666666668,0.006666666666666821,0.006666666666666821,0.0,True,rf,iris,1,0
9,25,0.0075284999999999,0.0020384999999998998,0.00549,72.92289300657599,0.95,0.9183333333333334,1,1,0,0.96,0.9666666666666668,0.9666666666666668,0.006666666666666821,0.006666666666666821,0.0,True,rf,iris,1,1
1,25,0.007501499999999901,0.0001525,0.007348999999999901,97.96707325201625,0.95,0.9183333333333334,1,1,0,0.96,0.9666666666666668,0.9666666666666668,0.006666666666666821,0.006666666666666821,0.0,True,rf,iris,1,2
1,25,0.007501999999999899,0.0001525,0.0073494999999998995,97.96720874433483,0.95,0.9183333333333334,1,1,0,0.96,0.9666666666666668,0.9666666666666668,0.006666666666666821,0.006666666666666821,0.0,True,rf,iris,2,0
9,25,0.007501499999999901,0.0020384999999998998,0.005463000000000001,72.82543491301838,0.95,0.9183333333333334,1,1,0,0.96,0.9666666666666668,0.9666666666666668,0.006666666666666821,0.006666666666666821,0.0,True,rf,iris,2,1
